Cooling Degree Days Mountain Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_MTN.M
22:28:30 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_MTN.M total degree days
Jul 2011,378.73316518
Jun 2011,237.2318217
May 2011,74.553110464
Apr 2011,44.921298391
Mar 2011,16.133536522
Feb 2011,0
Jan 2011,0
Dec 2010,0
Nov 2010,3.4691433639
Oct 2010,67.057968206
Sep 2010,225.08969781
Aug 2010,323.9390161
Jul 2010,382.54431286
Jun 2010,248.7882862
May 2010,71.054737718
Apr 2010,25.252463674
Mar 2010,5.7797786687
Feb 2010,1.7381372652
Jan 2010,1.1590134484
Dec 2009,0
Nov 2009,13.031594548
Oct 2009,42.64614776
Sep 2009,213.82664114
Aug 2009,318.47929353
Jul 2009,388.08352075
Jun 2009,199.40197773
May 2009,165.89586468
Apr 2009,32.06772767
Mar 2009,14.67966533
Feb 2009,2.6143596149
Jan 2009,1.7434948999
Dec 2008,0
Nov 2008,13.688326504
Oct 2008,70.801310543
Sep 2008,195.71705769
Aug 2008,326.65505984
Jul 2008,377.70177309
Jun 2008,265.44675787
May 2008,81.749265777
Apr 2008,38.95217948
Mar 2008,12.795563343
Feb 2008,1.7483004583
Jan 2008,0
Dec 2007,0
Nov 2007,20.539512888
Oct 2007,67.197025233
Sep 2007,199.57139586
Aug 2007,371.70964679
Jul 2007,428.43270877
Jun 2007,269.55084958
May 2007,134.07173209
Apr 2007,44.417069947
Mar 2007,23.234558057
Feb 2007,3.1127724083
Jan 2007,0
Dec 2006,0
Nov 2006,12.217677711
Oct 2006,50.655312203
Sep 2006,148.12947882
Aug 2006,305.08887415
Jul 2006,427.60965086
Jun 2006,318.56833766
May 2006,154.53141134
Apr 2006,38.478229521
Mar 2006,4.3637286889
Feb 2006,3.9753222621
Jan 2006,1.4397121276
Dec 2005,0
Nov 2005,11.421233457
Oct 2005,66.969600154
Sep 2005,192.22984314
Aug 2005,300.51333298
Jul 2005,418.4716016
Jun 2005,219.90802909
May 2005,121.48694685
Apr 2005,30.993159589
Mar 2005,6.6936818123
Feb 2005,2.3101270544
Jan 2005,1.1541942939
Dec 2004,0
Nov 2004,2.0167799387
Oct 2004,45.162639277
Sep 2004,170.66225289
Aug 2004,281.11712281
Jul 2004,345.30041141
Jun 2004,239.06593926
May 2004,128.6516435
Apr 2004,38.736669652
Mar 2004,39.408125879
Feb 2004,0
Jan 2004,0
Dec 2003,0
Nov 2003,3.1466928044
Oct 2003,113.62027882
Sep 2003,207.5350477
