Cooling Degree Days E. S. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_ESC.M
22:28:10 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_ESC.M total degree days
Jun 1995,258.02758498
May 1995,154.42568137
Apr 1995,31.405674918
Mar 1995,24.955674571
Feb 1995,2.2338728459
Jan 1995,4.2303692378
Dec 1994,3.8957553834
Nov 1994,12.840424784
Oct 1994,48.443451029
Sep 1994,155.28944018
Aug 1994,315.01148237
Jul 1994,361.5551708
Jun 1994,342.45172921
May 1994,87.951380149
Apr 1994,45.478430442
Mar 1994,13.81599499
Feb 1994,3.6373628459
Jan 1994,1.6368361422
Dec 1993,0.43381838287
Nov 1993,1.4694306753
Oct 1993,34.288552371
Sep 1993,187.79145753
Aug 1993,413.44896164
Jul 1993,493.73023693
Jun 1993,298.96553985
May 1993,116.42969086
Apr 1993,7.8569181396
Mar 1993,5.4960850703
Feb 1993,1.4709857307
Jan 1993,9.2266540744
Dec 1992,2.073701076
Nov 1992,1.4714093008
Oct 1992,32.296829965
Sep 1992,184.23233638
Aug 1992,260.85660175
Jul 1992,400.58693405
Jun 1992,222.09420145
May 1992,95.833860618
Apr 1992,20.83092142
Mar 1992,13.331572885
Feb 1992,6.4274956145
Jan 1992,3.2126079296
Dec 1991,4.1535307467
Nov 1991,0.60355865214
Oct 1991,54.81222848
Sep 1991,214.08801327
Aug 1991,368.27928906
Jul 1991,435.39620324
Jun 1991,316.66724104
May 1991,220.92029446
Apr 1991,53.114321197
Mar 1991,21.156034369
Feb 1991,4.1591732425
Jan 1991,4.0877242119
Dec 1990,4.7897352567
Nov 1990,8.5705679033
Oct 1990,38.626478296
Sep 1990,250.5433228
Aug 1990,386.35028878
Jul 1990,385.77347255
Jun 1990,308.83714643
May 1990,109.09257266
Apr 1990,17.348984203
Mar 1990,24.076957851
Feb 1990,13.299421207
Jan 1990,15.060586565
